Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00543557	0	0	0	4	0
0.00103677	0	0	0	4	0
0	0	0	0	4	0
0	0.000185455	0	0	4	0
0	-7.986e-06	0	0	4	0
0.00855712	0	0	0	3.37953	0
0.404368	0	0	0	0	0.0451897
0	0.0498234	0	0	1.2319	0
0.000936915	0	0	0	4	0
0	0.0341827	0	0	0	0
0.000814771	0	0	0	4	0
0	0.000610098	0	0	4	0
0.00100707	0	0	0	4	0
0	0	0	0	4	0
0.00925367	0	0	0	0	0
0	0	0	0	4	0
0.000793158	0	0	0	1.47246	0
0.00317025	0	0	0	0	0
0	0	0	0	4	0
0	0.00336689	0	0	3.99071	0
0	0.00350613	0	0	4	0
0.00260284	0	0	0	0	0
0	0.000296566	0	0	4	0
0.00931669	0	0	0	0	0
0.0127207	0	0	0	0	0
0	0.000381451	0	0	4	0
0	0.0109462	0	0	2.19666	0
0	0.0169391	0	0	3.39169	0
0	0.0216344	0	0	1.55889	0
0	-4.67285e-06	0	0	4	0
0	0.0308274	0	0	2.48264	0
0	0.000199372	0	0	4	0
0.000594519	0	0	0	4	0
0.00217855	0	0	0	4	0
0.000818748	0	0	0	4	0
0.00359924	0	0	0	4	0
0.00124995	0	0	0	4	0
0.00261744	0	0	0	4	0
0	6.44394e-05	0	0	4	0
0.0686588	0	0	0	0.0758484	0
0	6.13472e-05	0	0	4	0
0	0.00110617	0	0	0	0
0.0339513	0	0	0	0.0737361	0
0	0	0	0	4	0
0	-6.52366e-06	0	0	4	0
0.00127567	0	0	0	4	0
0.000287126	0	0	0	4	0
0.02901	0	0	0	1.93193	0
0.0040168	0	0	0	4	0
0.0118839	0	0	0	0	0
0.0014798	0	0	0	4	0
0.0579182	0	0	0	0	0
0.00129052	0	0	0	4	0
7.47692e-05	0	0	0	4	0
0	-2.85282e-05	0	0	4	0
0.0595899	0	0	0	0.984224	0
0	0.00964345	0	0	0	0
0	0.0405818	0	0	0	0
0.00224278	0	0	0	4	0
0	0.00023013	0	0	4	0
0.000366881	0	0	0	4	0
0	0.0051672	0	0	1.59452	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0.000857263	0	0	4	0
0.00266444	0	0	0	3.67468	0
0	-1.13674e-05	0	0	4	0
0	0.000419337	0	0	4	0
0	0.0947703	0	0	0	0
0	0.00549074	0	0	4	0
0	0.00012709	0	0	4	0
0.00258582	0	0	0	0	0
0	0.0298925	0	0	2.29679	0
0	0.000783504	0	0	4	0
0.000121431	0	0	0	4	0
0	0.00482034	0	0	4	0
0	0.000347528	0	0	4	0
0	0	0	0	4	0
0.107566	0	0	0	0	0
3.58845e-05	0	0	0	4	0
0.430339	0	0	0	0.192477	0
0.430771	0	0	0	0.195795	0
0	0.13196	0	0	0	0
0.0001846	0	0	0	0	0
0	0.0596087	0	0	0.726026	0
0.000329041	0	0	0	4	0
0	0.000663337	0	0	4	0
0.00210623	0	0	0	4	0
0	0.000263942	0	0	4	0
0	9.77764e-05	0	0	4	0
0.0591517	0	0	0	0.852203	0
1.53198e-05	0	0	0	4	0
0	0.00140076	0	0	4	0
0	0.000661	0	0	4	0
0.00708273	0	0	0	3.66608	0
0	0.000595421	0	0	4	0
3.34477e-06	0	0	0	4	0
0	0.00112433	0	0	1.29286	0
0.00101656	0	0	0	4	0
0	0.00467116	0	0	4	0
0	0.00175175	0	0	4	0
0.00754743	0	0	0	4	0
0	0	0	0	4	0
0.237215	0	0	0	0	0.151572
0.240218	0	0	0	0	0.235705
0	0.0375656	0	0	0.0952823	0
0	0.00884553	0	0	0	0
0	0.00116596	0	0	0	0
0	0.0350698	0	0	2.02982	0
0.0162574	0	0	0	2.86415	0
0.000448414	0	0	0	4	0
0	0.000163141	0	0	0.405343	0
0	0.0355725	0	0	0.434417	0
0	0	0	0	4	0
0	6.48028e-05	0	0	4	0
0.00975959	0	0	0	4	0
0.0151727	0	0	0	1.83909	0
0.000897362	0	0	0	4	0
0	0.00134338	0	0	4	0
0	0.000248898	0	0	4	0
0.00422077	0	0	0	0	0
0	0.00742757	0	0	4	0
-8.93927e-06	0	0	0	4	0
0.00602236	0	0	0	4	0
0.000492163	0	0	0	4	0
0	0.000578867	0	0	4	0
0	0.00663144	0	0	4	0
0	0.002871	0	0	4	0
0	0.00176719	0	0	4	0
