0,4,8
14205,16565,14023
143,140,97
32751,36996,30887
2099,2674,1915
34800,36649,31467
3050,3417,3916
31079,40818,29395
437,690,977
35069,25732,29884
535,636,675
12458,21865,26483
135,179,241
13516,23695,28542
157,208,272
13666,23843,28727
137,212,252
12534,22283,26849
140,184,225
12539,22169,27115
113,164,194
12655,22358,27356
115,164,200
12326,21984,26627
103,159,182
11873,21408,26039
110,210,331
6583,10996,13620
75,83,119
26736,28047,22205
549,233,667
22438,4214,2255
2294,131,447
2758,28501,4487
109,720,103
18720,27440,21077
329,1088,794
38457,39024,33317
10992,7946,2557
25444,25206,21308
2750,7949,482
53696,46012,29509
4766,28581,19033
40769,31506,25414
3436,17753,16814
