hhsubid_pos,mean_s,mean_lower_95,mean_upper_95,minus_sd_s,minus_sd_lower_95,minus_sd_upper_95,plus_sd_s,plus_sd_lower_95,plus_sd_upper_95,mean_pos_selection,minus_sd_pos_selection,plus_sd_pos_selection
1910302-HA-628,0.034849336986,-0.297321,0.352603,0.0441320711533,-0.294931,0.372288,0.028875708798,-0.294931,0.372288,FALSE,FALSE,FALSE
1700103-HA-628,0.034736532488,-0.314023,0.428096,0.023471761198,-0.341837,0.438426,-0.021103877334,-0.341837,0.438426,FALSE,FALSE,FALSE
1700103-PA-1922,0.0214008844470001,-0.334052,0.430989,-0.232751282614,-0.498218,0.159867,-0.052344819157,-0.498218,0.159867,FALSE,FALSE,FALSE
1700103-PA-2073,0.1206484981458,-0.147034,0.488125,0.12011840007,-0.228465,0.44501,0.12406708624302,-0.228465,0.44501,FALSE,FALSE,FALSE
1700103-PA-715,0.059154834154,-0.279123,0.463973,-0.163858882908,-0.499316,0.296606,-0.010459162169,-0.499316,0.296606,FALSE,FALSE,FALSE
1700103-PA-718,0.055735092861,-0.276049,0.483106,-0.173515939834,-0.49716,0.282312,-0.00224017285310001,-0.49716,0.282312,FALSE,FALSE,FALSE
1700103-PB1-523,-0.073609791417,-0.493932,0.350904,-0.2168209354276,-0.497703,0.206367,-0.0442483202959,-0.497703,0.206367,FALSE,FALSE,FALSE
1700103-PB1-546,-0.0679722936200998,-0.498325,0.337327,-0.192636166533,-0.499148,0.245805,-0.013918368999,-0.499148,0.245805,FALSE,FALSE,FALSE
1700103-PB1-594,0.1532807845825,-0.121896,0.493518,0.138914515895,-0.161201,0.486269,0.154605004714,-0.161201,0.486269,FALSE,FALSE,FALSE
1804501-HA-1573,0.23738919274,0.023607,0.458787,0.242261825476,0.0395468,0.492128,0.23095728276,0.0395468,0.492128,TRUE,TRUE,TRUE
1804501-PA-1488,0.3091630568,0.145702,0.479982,0.3114345784,0.159948,0.499299,0.3153513211,0.159948,0.499299,TRUE,TRUE,TRUE
1805202-PB2-1919,-0.00676299481,-0.324472,0.343629,-0.0033784106008,-0.323555,0.35504,-0.0310469984009999,-0.323555,0.35504,FALSE,FALSE,FALSE
1809802-HA-791,0.22780640515,-0.0279483,0.490066,0.180553070358,-0.107166,0.495374,0.21180859386,-0.107166,0.495374,FALSE,FALSE,FALSE
1809802-NA_-276,0.2149957944908,-0.0654289,0.499916,0.155099305982,-0.149701,0.492474,0.228710062496,-0.149701,0.492474,FALSE,FALSE,FALSE
1909801-HA-628,0.0347397036702,-0.271321,0.323134,0.025806174014,-0.284978,0.39765,0.014039719369,-0.284978,0.39765,FALSE,FALSE,FALSE
1909801-NA_-1327,-0.064105226749,-0.378664,0.26429,-0.0638265230000001,-0.411638,0.28693,-0.0758953493983001,-0.411638,0.28693,FALSE,FALSE,FALSE
1909801-NA_-671,0.0835000481957001,-0.137454,0.341676,0.0878970920300001,-0.175092,0.355032,0.082701397252,-0.175092,0.355032,FALSE,FALSE,FALSE
1910304-M-331,-0.0317078063202,-0.141909,0.0770688,-0.035107189276,-0.167843,0.0898944,-0.036520692783,-0.167843,0.0898944,FALSE,FALSE,FALSE
1910304-PB2-1251,0.152391150211,-0.165344,0.485346,0.1065846233977,-0.227963,0.498291,0.196512552741,-0.227963,0.498291,FALSE,FALSE,FALSE
1910304-PB2-2238,-0.1584311969924,-0.324678,0.0101546,-0.152322911103,-0.356479,0.0817433,-0.15955375441,-0.356479,0.0817433,FALSE,FALSE,FALSE
1903904-NA_-1314,0.116013979969,-0.133016,0.377965,0.1016049905138,-0.201681,0.384495,0.111477536937,-0.201681,0.384495,FALSE,FALSE,FALSE
