Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00718107	0	0	0	4	0
0.00353432	0	0	0	4	0
0.00100745	0	0	0	4	0
0	0.00763513	0	0	4	0
0.000190663	0	0	0	4	0
0	0	0	0	4	0
0.00123261	0	0	0	4	0
0	-2.50939e-06	0	0	4	0
0.00369437	0	0	0	4	0
0	0.000227963	0	0	4	0
0.000564523	0	0	0	4	0
0.265491	0	0	0	0.226867	0
0	0.034482	0	0	0	0
0	0.00282571	0	0	4	0
0	3.84148e-05	0	0	4	0
0.000428427	0	0	0	4	0
0	0.00066372	0	0	4	0
0	0.00813339	0	0	4	0
0	0	0	0	4	0
0.00102093	0	0	0	4	0
0.00024938	0	0	0	0	0
0.00319089	0	0	0	4	0
8.1028e-05	0	0	0	0	0
0.000950347	0	0	0	4	0
0.000118415	0	0	0	4	0
0	0.00125475	0	0	4	0
0	0.0188247	0	0	0	0
0.00633962	0	0	0	4	0
0	0.00154468	0	0	4	0
0.00112432	0	0	0	4	0
0.18922	0	0	0	0	0
0	0	0	0	4	0
0	0.000154796	0	0	4	0
0	0.000170369	0	0	4	0
0	5.49786e-06	0	0	4	0
0	0.000189212	0	0	4	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0.000333111	0	0	4	0
0	0	0	0	4	0
0	0	0	0	4	0
0	0.0012946	0	0	4	0
0	0.00118889	0	0	4	0
0.000407746	0	0	0	1.90173	0
0.00034414	0	0	0	0	0
0.000980732	0	0	0	4	0
0.00645499	0	0	0	4	0
0.00398122	0	0	0	4	0
0	9.43429e-05	0	0	4	0
0	0.00086787	0	0	4	0
0	0.134571	0	0	0.462425	0
0	0.131384	0	0	0.452938	0
0	0.0155712	0	0	1.74025	0
0	0.00260443	0	0	4	0
0.000172712	0	0	0	4	0
0	0	0	0	4	0
0	-5.09192e-05	0	0	4	0
0.345456	0	0	0	0	0
0.366189	0	0	0	0	0
0.00583575	0	0	0	4	0
0.31469	0	0	0	0	0
0.0380292	0	0	0	1.95132	0
0.352118	0	0	0	0	0
0.0919212	0	0	0	0.745593	0
0	0.000291311	0	0	0	0
0	0	0	0	4	0
0	0.00435802	0	0	4	0
0	0.0223992	0	0	2.34679	0
0.00196616	0	0	0	0	0
0	0.01987	0	0	1.06328	0
0	0.000251822	0	0	4	0
0	0	0	0	4	0
0.13789	0	0	0	0	0
0.00157574	0	0	0	4	0
0	0	0	0	4	0
0	9.45172e-05	0	0	4	0
0.000554947	0	0	0	4	0
0	7.8835e-05	0	0	4	0
0.000614914	0	0	0	4	0
0	0.000106211	0	0	4	0
0	9.80062e-05	0	0	4	0
0.000678515	0	0	0	4	0
0	0.000112497	0	0	4	0
0.000433116	0	0	0	4	0
0	-2.92196e-05	0	0	4	0
0.000253684	0	0	0	4	0
0	0	0	0	4	0
0	-5.98715e-05	0	0	4	0
0.0224432	0	0	0	2.51377	0
0.00031418	0	0	0	4	0
0	0	0	0	4	0
0.115845	0	0	0	0	0
0.00227189	0	0	0	0.59879	0
-6.35114e-05	0	0	0	4	0
2.38299e-05	0	0	0	4	0
0	0.010685	0	0	3.79034	0
0	0.0092961	0	0	4	0
3.67436e-05	0	0	0	4	0
0	0.000270427	0	0	4	0
0	0.00633504	0	0	4	0
0.00346039	0	0	0	1.74798	0
0.0593776	0	0	0	0.924913	0
0.000702212	0	0	0	4	0
0.00779068	0	0	0	3.39682	0
0	0.00243973	0	0	4	0
0.000879565	0	0	0	4	0
0.000576739	0	0	0	4	0
0.000425549	0	0	0	4	0
0	0.0014622	0	0	4	0
0.0100997	0	0	0	0	0
0	-8.37337e-05	0	0	4	0
-5.54395e-06	0	0	0	4	0
0	0.00438388	0	0	0	0
0.00504317	0	0	0	0	0
0.00306216	0	0	0	0	0
0	0.0247	0	0	0.359116	0
0	0.0221577	0	0	3.01058	0
0	0.00595201	0	0	0	0
1.33432e-05	0	0	0	0	0
-0.000137236	0	0	0	0	0
0	0.00151978	0	0	4	0
0	0.00023175	0	0	4	0
0.00507729	0	0	0	3.16228	0
0	0.000467283	0	0	4	0
0	0.0814807	0	0	0.187162	0
0.0989126	0	0	0	0	0
0.210825	0	0	0	0	0
0	0.0288141	0	0	0	0
0	0.00128901	0	0	4	0
0.000882192	0	0	0	0	0
0	0.00632159	0	0	4	0
0.00434193	0	0	0	4	0
0	0.0262694	0	0	0	0
0.210592	0	0	0	0	0
0	0.00538706	0	0	4	0
0	0.00324533	0	0	4	0
0	0.00208149	0	0	4	0
0	0.00396484	0	0	4	0
0	0.00838058	0	0	4	0
0	0.00111797	0	0	4	0
0	0.00188463	0	0	1.07476	0
0	0.000156041	0	0	4	0
0	0.0415686	0	0	0.755719	0
0	0	0	0	4	0
0	0.000109093	0	0	0	0
0	0.000593421	0	0	4	0
0	0.00143671	0	0	0	0
0	9.43976e-05	0	0	0	0
0	-1.32567e-05	0	0	4	0
-2.85568e-06	0	0	0	4	0
0	0.0011686	0	0	4	0
0.000273507	0	0	0	0	0
0	0.000643744	0	0	4	0
0	0.000526932	0	0	4	0
0	0.000792066	0	0	4	0
0	0.000340794	0	0	0	0
0	0	0	0	4	0
0.175187	0	0	0	0.45873	0
0	0.150188	0	0	0.0584338	0
0	0.00791422	0	0	4	0
0.0123529	0	0	0	3.37848	0
0	0.00283375	0	0	4	0
0.00186155	0	0	0	4	0
0	0	0	0	4	0
0.0524191	0	0	0	0	0
0.000102669	0	0	0	4	0
0.00182448	0	0	0	4	0
0	6.56493e-06	0	0	4	0
0	0.123839	0	0	0	0
0	0	0	0	4	0
0	0	0	0	4	0
0.00151414	0	0	0	4	0
0.000476135	0	0	0	4	0
0	0.00904529	0	0	0	0
0	0.00192481	0	0	4	0
0.00205542	0	0	0	4	0
0.0604508	0	0	0	0	0
-1.30447e-05	0	0	0	4	0
0	0.000128519	0	0	4	0
0.00607247	0	0	0	4	0
0.0103283	0	0	0	0.122225	0
0.00399304	0	0	0	4	0
0	0.000569617	0	0	0	0
0.0289021	0	0	0	0.516642	0
0.00583944	0	0	0	0	0
0.236344	0	0	0	0	0
0.2077	0	0	0	0	0
0.286265	0	0	0	0.271771	0
0.00297337	0	0	0	0	0
0.000186601	0	0	0	4	0
0	0.00544178	0	0	0.934547	0
0.000346053	0	0	0	4	0
0	0.00499806	0	0	4	0
0.0176872	0	0	0	3.46843	0
